metric_name,timestamp,metric_value
s3.request,2019-11-30 17:00:00,6150.0
s3.request,2019-11-30 18:00:00,3800.0
s3.request,2019-11-30 19:00:00,2960.0
s3.request,2019-11-30 20:00:00,2190.0
s3.request,2019-11-30 21:00:00,1160.0
s3.request,2019-11-30 22:00:00,800.0
s3.request,2019-11-30 23:00:00,410.0
s3.request,2019-12-01 00:00:00,1890.0
s3.request,2019-12-01 01:00:00,3270.0
s3.request,2019-12-01 02:00:00,3840.0
s3.request,2019-12-01 03:00:00,4110.0
s3.request,2019-12-01 04:00:00,6850.0
s3.request,2019-12-01 05:00:00,4010.0
s3.request,2019-12-01 06:00:00,7680.0
s3.request,2019-12-01 07:00:00,3820.0
s3.request,2019-12-01 08:00:00,4390.0
s3.request,2019-12-01 09:00:00,4860.0
s3.request,2019-12-01 10:00:00,4690.0
s3.request,2019-12-01 11:00:00,2840.0
s3.request,2019-12-01 12:00:00,3530.0
s3.request,2019-12-01 13:00:00,4170.0
s3.request,2019-12-01 14:00:00,5450.0
s3.request,2019-12-01 15:00:00,4680.0
s3.request,2019-12-01 16:00:00,6900.0
s3.request,2019-12-01 17:00:00,4780.0
s3.request,2019-12-01 18:00:00,6100.0
s3.request,2019-12-01 19:00:00,2070.0
s3.request,2019-12-01 20:00:00,1460.0
s3.request,2019-12-01 21:00:00,310.0
s3.request,2019-12-01 22:00:00,2120.0
s3.request,2019-12-01 23:00:00,900.0
s3.request,2019-12-02 00:00:00,1340.0
s3.request,2019-12-02 01:00:00,1730.0
s3.request,2019-12-02 02:00:00,2430.0
s3.request,2019-12-02 03:00:00,7110.0
s3.request,2019-12-02 04:00:00,4560.0
s3.request,2019-12-02 05:00:00,6350.0
s3.request,2019-12-02 06:00:00,5670.0
s3.request,2019-12-02 07:00:00,9240.0
s3.request,2019-12-02 08:00:00,4910.0
s3.request,2019-12-02 09:00:00,8140.0
s3.request,2019-12-02 10:00:00,4990.0
s3.request,2019-12-02 11:00:00,4360.0
s3.request,2019-12-02 12:00:00,4980.0
s3.request,2019-12-02 13:00:00,4940.0
s3.request,2019-12-02 14:00:00,4340.0
s3.request,2019-12-02 15:00:00,5370.0
s3.request,2019-12-02 16:00:00,6000.0
s3.request,2019-12-02 17:00:00,5910.0
s3.request,2019-12-02 18:00:00,8730.0
s3.request,2019-12-02 19:00:00,2590.0
s3.request,2019-12-02 20:00:00,840.0
s3.request,2019-12-02 21:00:00,830.0
s3.request,2019-12-02 22:00:00,360.0
s3.request,2019-12-02 23:00:00,1500.0
s3.request,2019-12-03 00:00:00,2520.0
s3.request,2019-12-03 01:00:00,2150.0
s3.request,2019-12-03 02:00:00,2530.0
s3.request,2019-12-03 03:00:00,5420.0
s3.request,2019-12-03 04:00:00,4190.0
s3.request,2019-12-03 05:00:00,4910.0
s3.request,2019-12-03 06:00:00,5510.0
s3.request,2019-12-03 07:00:00,7740.0
s3.request,2019-12-03 08:00:00,4640.0
s3.request,2019-12-03 09:00:00,2770.0
s3.request,2019-12-03 10:00:00,4880.0
s3.request,2019-12-03 11:00:00,5310.0
s3.request,2019-12-03 12:00:00,3080.0
s3.request,2019-12-03 13:00:00,6280.0
s3.request,2019-12-03 14:00:00,7330.0
s3.request,2019-12-03 15:00:00,8730.0
s3.request,2019-12-03 16:00:00,8660.0
s3.request,2019-12-03 17:00:00,8130.0
s3.request,2019-12-03 18:00:00,6550.0
s3.request,2019-12-03 19:00:00,2330.0
s3.request,2019-12-03 20:00:00,1550.0
s3.request,2019-12-03 21:00:00,830.0
s3.request,2019-12-03 22:00:00,450.0
s3.request,2019-12-03 23:00:00,2290.0
s3.request,2019-12-04 00:00:00,1320.0
s3.request,2019-12-04 01:00:00,1360.0
s3.request,2019-12-04 02:00:00,2020.0
s3.request,2019-12-04 03:00:00,6980.0
s3.request,2019-12-04 04:00:00,4550.0
s3.request,2019-12-04 05:00:00,4760.0
s3.request,2019-12-04 06:00:00,7740.0
s3.request,2019-12-04 07:00:00,5130.0
s3.request,2019-12-04 08:00:00,4870.0
s3.request,2019-12-04 09:00:00,6880.0
s3.request,2019-12-04 10:00:00,4630.0
s3.request,2019-12-04 11:00:00,4880.0
s3.request,2019-12-04 12:00:00,3950.0
s3.request,2019-12-04 13:00:00,4540.0
s3.request,2019-12-04 14:00:00,9780.0
s3.request,2019-12-04 15:00:00,6850.0
s3.request,2019-12-04 16:00:00,9000.0
s3.request,2019-12-04 17:00:00,4940.0
s3.request,2019-12-04 18:00:00,6610.0
s3.request,2019-12-04 19:00:00,1500.0
s3.request,2019-12-04 20:00:00,1720.0
s3.request,2019-12-04 21:00:00,1080.0
s3.request,2019-12-04 22:00:00,430.0
s3.request,2019-12-04 23:00:00,1350.0
s3.request,2019-12-05 00:00:00,2800.0
s3.request,2019-12-05 01:00:00,2530.0
s3.request,2019-12-05 02:00:00,2740.0
s3.request,2019-12-05 03:00:00,9550.0
s3.request,2019-12-05 04:00:00,6070.0
s3.request,2019-12-05 05:00:00,4170.0
s3.request,2019-12-05 06:00:00,3850.0
s3.request,2019-12-05 07:00:00,3520.0
s3.request,2019-12-05 08:00:00,4830.0
s3.request,2019-12-05 09:00:00,4710.0
s3.request,2019-12-05 10:00:00,2410.0
s3.request,2019-12-05 11:00:00,4020.0
s3.request,2019-12-05 12:00:00,6950.0
s3.request,2019-12-05 13:00:00,5240.0
s3.request,2019-12-05 14:00:00,8330.0
s3.request,2019-12-05 15:00:00,8950.0
s3.request,2019-12-05 16:00:00,6670.0
s3.request,2019-12-05 17:00:00,7060.0
s3.request,2019-12-05 18:00:00,2930.0
s3.request,2019-12-05 19:00:00,660.0
s3.request,2019-12-05 20:00:00,1910.0
s3.request,2019-12-05 21:00:00,2270.0
s3.request,2019-12-05 22:00:00,530.0
s3.request,2019-12-05 23:00:00,430.0
s3.request,2019-12-06 00:00:00,1550.0
s3.request,2019-12-06 01:00:00,3980.0
s3.request,2019-12-06 02:00:00,3340.0
s3.request,2019-12-06 03:00:00,4660.0
s3.request,2019-12-06 04:00:00,4150.0
s3.request,2019-12-06 05:00:00,4640.0
s3.request,2019-12-06 06:00:00,10500.0
s3.request,2019-12-06 07:00:00,7220.0
s3.request,2019-12-06 08:00:00,7930.0
s3.request,2019-12-06 09:00:00,6080.0
s3.request,2019-12-06 10:00:00,3360.0
s3.request,2019-12-06 11:00:00,5170.0
s3.request,2019-12-06 12:00:00,4090.0
s3.request,2019-12-06 13:00:00,6060.0
s3.request,2019-12-06 14:00:00,3780.0
s3.request,2019-12-06 15:00:00,5350.0
s3.request,2019-12-06 16:00:00,8470.0
s3.request,2019-12-06 17:00:00,5700.0
s3.request,2019-12-06 18:00:00,3260.0
s3.request,2019-12-06 19:00:00,2770.0
s3.request,2019-12-06 20:00:00,1690.0
s3.request,2019-12-06 21:00:00,520.0
s3.request,2019-12-06 22:00:00,4500.0
s3.request,2019-12-06 23:00:00,1500.0
s3.request,2019-12-07 00:00:00,4190.0
s3.request,2019-12-07 01:00:00,1300.0
s3.request,2019-12-07 02:00:00,5610.0
s3.request,2019-12-07 03:00:00,6030.0
s3.request,2019-12-07 04:00:00,3730.0
s3.request,2019-12-07 05:00:00,2740.0
s3.request,2019-12-07 06:00:00,2910.0
s3.request,2019-12-07 07:00:00,7220.0
s3.request,2019-12-07 08:00:00,5890.0
s3.request,2019-12-07 09:00:00,4100.0
s3.request,2019-12-07 10:00:00,3240.0
s3.request,2019-12-07 11:00:00,4270.0
s3.request,2019-12-07 12:00:00,4800.0
s3.request,2019-12-07 13:00:00,3490.0
s3.request,2019-12-07 14:00:00,4720.0
s3.request,2019-12-07 15:00:00,7050.0
s3.request,2019-12-07 16:00:00,7080.0
s3.request,2019-12-07 17:00:00,7730.0
s3.request,2019-12-07 18:00:00,2870.0
s3.request,2019-12-07 19:00:00,1300.0
s3.request,2019-12-07 20:00:00,1620.0
s3.request,2019-12-07 21:00:00,1430.0
s3.request,2019-12-07 22:00:00,350.0
s3.request,2019-12-07 23:00:00,1190.0
s3.request,2019-12-08 00:00:00,2570.0
