metric_name,timestamp,metric_value
s3.data_transfer,2019-11-30 17:00:00,24178.051
s3.data_transfer,2019-11-30 18:00:00,18718.579
s3.data_transfer,2019-11-30 19:00:00,11488.947
s3.data_transfer,2019-11-30 20:00:00,13348.005
s3.data_transfer,2019-11-30 21:00:00,3541.754
s3.data_transfer,2019-11-30 22:00:00,2777.139
s3.data_transfer,2019-11-30 23:00:00,701.977
s3.data_transfer,2019-12-01 00:00:00,8941.964
s3.data_transfer,2019-12-01 01:00:00,18952.459
s3.data_transfer,2019-12-01 02:00:00,10987.446
s3.data_transfer,2019-12-01 03:00:00,20702.83
s3.data_transfer,2019-12-01 04:00:00,31361.369
s3.data_transfer,2019-12-01 05:00:00,10555.445
s3.data_transfer,2019-12-01 06:00:00,24093.442
s3.data_transfer,2019-12-01 07:00:00,16797.126
s3.data_transfer,2019-12-01 08:00:00,9164.87
s3.data_transfer,2019-12-01 09:00:00,23184.232
s3.data_transfer,2019-12-01 10:00:00,11589.307
s3.data_transfer,2019-12-01 11:00:00,13655.069
s3.data_transfer,2019-12-01 12:00:00,11321.964
s3.data_transfer,2019-12-01 13:00:00,17946.839
s3.data_transfer,2019-12-01 14:00:00,16171.63
s3.data_transfer,2019-12-01 15:00:00,11731.798
s3.data_transfer,2019-12-01 16:00:00,21170.911
s3.data_transfer,2019-12-01 17:00:00,16831.549
s3.data_transfer,2019-12-01 18:00:00,24503.835
s3.data_transfer,2019-12-01 19:00:00,4689.194
s3.data_transfer,2019-12-01 20:00:00,24349.865
s3.data_transfer,2019-12-01 21:00:00,461.552
s3.data_transfer,2019-12-01 22:00:00,17375.115
s3.data_transfer,2019-12-01 23:00:00,2956.394
s3.data_transfer,2019-12-02 00:00:00,8564.38
s3.data_transfer,2019-12-02 01:00:00,15498.265
s3.data_transfer,2019-12-02 02:00:00,7619.074
s3.data_transfer,2019-12-02 03:00:00,72356.182
s3.data_transfer,2019-12-02 04:00:00,36291.825
s3.data_transfer,2019-12-02 05:00:00,38732.488
s3.data_transfer,2019-12-02 06:00:00,30172.565
s3.data_transfer,2019-12-02 07:00:00,85420.679
s3.data_transfer,2019-12-02 08:00:00,29410.714
s3.data_transfer,2019-12-02 09:00:00,27757.056
s3.data_transfer,2019-12-02 10:00:00,17842.258
s3.data_transfer,2019-12-02 11:00:00,15821.557
s3.data_transfer,2019-12-02 12:00:00,18170.78
s3.data_transfer,2019-12-02 13:00:00,26522.941
s3.data_transfer,2019-12-02 14:00:00,12188.781
s3.data_transfer,2019-12-02 15:00:00,19630.091
s3.data_transfer,2019-12-02 16:00:00,22375.687
s3.data_transfer,2019-12-02 17:00:00,22244.256
s3.data_transfer,2019-12-02 18:00:00,51080.391
