metric_name,timestamp,metric_value
s3.storage,2019-12-05 13:00:00,42962.705
s3.storage,2019-12-05 14:00:00,42965.973
s3.storage,2019-12-05 15:00:00,42976.674
s3.storage,2019-12-05 16:00:00,42984.259
s3.storage,2019-12-05 17:00:00,42987.25
s3.storage,2019-12-05 18:00:00,42988.841
s3.storage,2019-12-05 19:00:00,42989.286
s3.storage,2019-12-05 20:00:00,42989.519
s3.storage,2019-12-05 21:00:00,42989.848
s3.storage,2019-12-05 22:00:00,42989.97
s3.storage,2019-12-05 23:00:00,42989.97
s3.storage,2019-12-06 00:00:00,42990.58
s3.storage,2019-12-06 01:00:00,42996.713
s3.storage,2019-12-06 02:00:00,42999.579
s3.storage,2019-12-06 03:00:00,43000.915
s3.storage,2019-12-06 04:00:00,43002.424
s3.storage,2019-12-06 05:00:00,43004.29
s3.storage,2019-12-06 06:00:00,43006.384
s3.storage,2019-12-06 07:00:00,43010.022
s3.storage,2019-12-06 08:00:00,43016.256
s3.storage,2019-12-06 09:00:00,43018.568
s3.storage,2019-12-06 10:00:00,43019.613
s3.storage,2019-12-06 11:00:00,43019.986
s3.storage,2019-12-06 12:00:00,43020.6
s3.storage,2019-12-06 13:00:00,43021.99
s3.storage,2019-12-06 14:00:00,43024.669
s3.storage,2019-12-06 15:00:00,43028.122
s3.storage,2019-12-06 16:00:00,43031.529
s3.storage,2019-12-06 17:00:00,43035.851
s3.storage,2019-12-06 18:00:00,43037.692
s3.storage,2019-12-06 19:00:00,43038.474
s3.storage,2019-12-06 20:00:00,43039.11
s3.storage,2019-12-06 21:00:00,43039.268
s3.storage,2019-12-06 22:00:00,43039.279
s3.storage,2019-12-06 23:00:00,43039.385
s3.storage,2019-12-07 00:00:00,43039.501
s3.storage,2019-12-07 01:00:00,43040.221
s3.storage,2019-12-07 02:00:00,43042.076
s3.storage,2019-12-07 03:00:00,43044.201
s3.storage,2019-12-07 04:00:00,43046.204
s3.storage,2019-12-07 05:00:00,43047.979
s3.storage,2019-12-07 06:00:00,43049.083
s3.storage,2019-12-07 07:00:00,43050.549
s3.storage,2019-12-07 08:00:00,43051.776
s3.storage,2019-12-07 09:00:00,43053.186
s3.storage,2019-12-07 10:00:00,43054.877
s3.storage,2019-12-07 11:00:00,43055.528
s3.storage,2019-12-07 12:00:00,43058.693
s3.storage,2019-12-07 13:00:00,43061.422
s3.storage,2019-12-07 14:00:00,43063.424
s3.storage,2019-12-07 15:00:00,43067.202
s3.storage,2019-12-07 16:00:00,43077.124
s3.storage,2019-12-07 17:00:00,43084.838
s3.storage,2019-12-07 18:00:00,43089.859
s3.storage,2019-12-07 19:00:00,43090.837
s3.storage,2019-12-07 20:00:00,43091.308
s3.storage,2019-12-07 21:00:00,43091.52
s3.storage,2019-12-07 22:00:00,43092.156
s3.storage,2019-12-07 23:00:00,43092.453
s3.storage,2019-12-08 00:00:00,43092.704
s3.storage,2019-12-08 01:00:00,43093.734
s3.storage,2019-12-08 02:00:00,43096.9
s3.storage,2019-12-08 03:00:00,43107.208
