metric_name,date,p10,p50,p90
s3.data_transfer,2019-12-29T01:00:00Z,5335.049473089293,23464.68009259269,41594.31071209609
s3.data_transfer,2019-12-29T02:00:00Z,8663.026250037954,26807.16341382267,44951.300577607384
s3.data_transfer,2019-12-29T03:00:00Z,11592.716775345576,29751.34889444618,47909.981013546785
s3.data_transfer,2019-12-29T04:00:00Z,14106.554012200562,32279.669525381854,50452.78503856315
s3.data_transfer,2019-12-29T05:00:00Z,16199.177358347697,34386.76473199429,52574.352105640886
s3.data_transfer,2019-12-29T06:00:00Z,17876.910339792666,36078.95806779919,54281.005795805715
s3.data_transfer,2019-12-29T07:00:00Z,18911.045124400367,37127.54172806228,55344.038331724194
s3.data_transfer,2019-12-29T08:00:00Z,18686.168911179248,36917.102939084245,55148.03696698924
s3.data_transfer,2019-12-29T09:00:00Z,16607.34776914113,34852.707797061186,53098.06782498124
s3.data_transfer,2019-12-29T10:00:00Z,12967.171296671022,31226.945927454977,49486.72055823893
s3.data_transfer,2019-12-29T11:00:00Z,9465.898299557513,27740.076163024307,46014.2540264911
s3.data_transfer,2019-12-29T12:00:00Z,8571.43708296651,26860.006835798966,45148.57658863142
s3.data_transfer,2019-12-29T13:00:00Z,11826.976174457654,30129.92650009687,48432.876825736086
s3.data_transfer,2019-12-29T14:00:00Z,18310.472717473534,36627.79232601384,54945.11193455415
s3.data_transfer,2019-12-29T15:00:00Z,24636.467403402723,42968.14503148722,61299.82265957171
s3.data_transfer,2019-12-29T16:00:00Z,26817.140501344013,45163.16491206069,63509.18932277737
s3.data_transfer,2019-12-29T17:00:00Z,22788.088060331527,41148.44804310993,59508.80802588833
s3.data_transfer,2019-12-29T18:00:00Z,13767.585165350254,32142.269535858744,50516.953906367235
s3.data_transfer,2019-12-29T19:00:00Z,3461.718219616232,21850.71581965978,40239.71341970333
s3.data_transfer,2019-12-29T20:00:00Z,-4233.304443428411,14169.995253990148,32573.29495140871
s3.data_transfer,2019-12-29T21:00:00Z,-7321.572150343833,11096.018538223561,29513.609226790955
s3.data_transfer,2019-12-29T22:00:00Z,-6236.454167195036,12195.416432128379,30627.287031451793
s3.data_transfer,2019-12-29T23:00:00Z,-2805.4213890218944,15640.718066398078,34086.85752181805
s3.data_transfer,2019-12-30T00:00:00Z,1228.2089542715148,19688.60623676248,38149.00351925344
s3.data_transfer,2019-12-30T01:00:00Z,4990.035986521303,23464.68009259269,41939.32419866408
s3.data_transfer,2019-12-30T02:00:00Z,8318.283462224823,26807.16341382267,45296.04336542051
s3.data_transfer,2019-12-30T03:00:00Z,11248.244050037087,29751.34889444618,48254.45373885527
s3.data_transfer,2019-12-30T04:00:00Z,13762.350715635297,32279.669525381854,50796.98833512841
s3.data_transfer,2019-12-30T05:00:00Z,15855.24285923942,34386.76473199429,52918.28660474916
s3.data_transfer,2019-12-30T06:00:00Z,17533.244009316822,36078.95806779919,54624.672126281555
