metric_name,date,p10,p50,p90
s3.storage,2019-12-28T06:00:00Z,44738.36007140538,44779.75644131626,44821.15281122714
s3.storage,2019-12-28T07:00:00Z,44741.52135430244,44783.36954800218,44825.21774170192
s3.storage,2019-12-28T08:00:00Z,44744.960045100044,44787.25523619861,44829.550427297174
s3.storage,2019-12-28T09:00:00Z,44748.727515145816,44791.46502869302,44834.20254224022
s3.storage,2019-12-28T10:00:00Z,44752.2240731233,44795.399377851005,44838.57468257871
s3.storage,2019-12-28T11:00:00Z,44754.83418580576,44798.44288691533,44842.05158802489
s3.storage,2019-12-28T12:00:00Z,44756.74932014496,44800.787152591576,44844.82498503819
s3.storage,2019-12-28T13:00:00Z,44759.0976331764,44803.56045540722,44848.023277638036
s3.storage,2019-12-28T14:00:00Z,44763.12244201802,44808.006230125335,44852.89001823265
s3.storage,2019-12-28T15:00:00Z,44769.08159770568,44814.382439960485,44859.683282215294
s3.storage,2019-12-28T16:00:00Z,44775.86734561239,44821.581437347086,44867.295529081784
s3.storage,2019-12-28T17:00:00Z,44781.7283875729,44827.85202638491,44873.97566519693
s3.storage,2019-12-28T18:00:00Z,44785.485592187666,44832.015173438675,44878.54475468968
s3.storage,2019-12-28T19:00:00Z,44787.20783805015,44834.139850637795,44881.07186322544
s3.storage,2019-12-28T20:00:00Z,44787.846793164084,44835.1778155454,44882.50883792672
s3.storage,2019-12-28T21:00:00Z,44788.290535582346,44836.017232029866,44883.743928477386
s3.storage,2019-12-28T22:00:00Z,44788.76309052685,44836.88220760028,44885.001324673714
s3.storage,2019-12-28T23:00:00Z,44789.05558142173,44837.56394463942,44886.07230785711
s3.storage,2019-12-29T00:00:00Z,44789.20571352509,44838.100224220994,44886.9947349169
s3.storage,2019-12-29T01:00:00Z,44789.82233233905,44839.099964692134,44888.37759704522
s3.storage,2019-12-29T02:00:00Z,44791.675698346495,44841.33349657053,44890.99129479456
s3.storage,2019-12-29T03:00:00Z,44794.977041679085,44845.01211736196,44895.04719304484
s3.storage,2019-12-29T04:00:00Z,44799.117252646116,44849.526782228575,44899.936311811034
s3.storage,2019-12-29T05:00:00Z,44803.170579155725,44853.95180154016,44904.7330239246
s3.storage,2019-12-29T06:00:00Z,44806.67766949558,44857.82788377656,44908.978098057545
s3.storage,2019-12-29T07:00:00Z,44809.92442715393,44861.44099046248,44912.957553771026
s3.storage,2019-12-29T08:00:00Z,44813.44635320449,44865.32667865891,44917.20700411333
s3.storage,2019-12-29T09:00:00Z,44817.294916396684,44869.53647115331,44921.77802590994
s3.storage,2019-12-29T10:00:00Z,44820.87051691367,44873.4708203113,44926.07112370893
s3.storage,2019-12-29T11:00:00Z,44823.5577075833,44876.51432937563,44929.470951167954
s3.storage,2019-12-29T12:00:00Z,44825.54803638111,44878.85859505187,44932.16915372263
s3.storage,2019-12-29T13:00:00Z,44827.96973671162,44881.63189786752,44935.29405902342
s3.storage,2019-12-29T14:00:00Z,44832.066197748754,44886.077672585634,44940.08914742251
s3.storage,2019-12-29T15:00:00Z,44838.09533858278,44892.453882420785,44946.81242625879
s3.storage,2019-12-29T16:00:00Z,44844.949468923594,44899.652879807385,44954.356290691176
s3.storage,2019-12-29T17:00:00Z,44850.877351484814,44905.923468845205,44960.969586205596
s3.storage,2019-12-29T18:00:00Z,44854.69991252545,44910.086615898974,44965.473319272496
s3.storage,2019-12-29T19:00:00Z,44856.4860852948,44912.21129309809,44967.93650090138
